hs6,isic4
100310,0111
100390,0111
100410,0111
100490,0111
100510,0111
100590,0111
100610,0112
100620,1061
100630,1061
100640,1061
100710,0111
100790,0111
100810,0111
100821,0111
100829,0111
100830,0111
100840,0111
100850,0111
100860,0111
100890,0111
110100,1061
110220,1061
110290,1061
110311,1061
110313,1061
110319,1061
110320,1061
110412,1061
110419,1061
110422,1061
110423,1061
110429,1061
110430,1061
110510,1030
110520,1030
110610,1061
110620,1061
110630,1061
110710,1103
110720,1103
110811,1062
110812,1062
110813,1062
110814,1062
110819,1062
110820,1062
110900,1062
120110,0111
120190,0111
120230,0111
120241,0111
120242,1030
120300,0126
120400,0111
120510,0111
120590,0111
120600,0111
120710,0126
120721,0111
120729,0111
120730,0111
120740,0111
120750,0111
120760,0111
120770,0111
120791,0111
120799,0111
120810,1040
120890,1040
120910,0113
120921,0119
120922,0119
120923,0119
120924,0119
120925,0119
120929,0119
120930,0119
120991,0113
120999,0125
121010,0128
121020,0128
121120,0128
121130,0128
121140,0128
121190,0128
121221,0311
121229,0311
121291,0113
121292,0125
121293,0114
121294,0128
121299,0128
121300,0111
121410,1080
121490,0119
130120,0230
130190,0230
130211,0128
130212,1079
130213,1079
130219,1079
130220,1079
130231,0311
130232,1079
130239,1079
140110,0129
140120,0129
140190,0129
140420,1040
140490,0129
150110,1010
150120,1010
150190,1010
150210,1040
150290,1010
150300,1040
150410,1040
150420,1040
150430,1040
150500,1010
150600,1010
150710,1040
150790,1040
150810,1040
150890,1040
150910,1040
150990,1040
151000,1040
151110,1040
151190,1040
151211,1040
151219,1040
151221,1040
151229,1040
151311,1040
151319,1040
151321,1040
151329,1040
151411,1040
151419,1040
151491,1040
151499,1040
151511,1040
151519,1040
151521,1040
151529,1040
151530,1040
151550,1040
151590,1040
151610,1040
151620,1040
151710,1040
151790,1040
151800,2029
152000,2011
152110,1040
152190,1040
152200,1040
160100,1010
160210,1079
160220,1075
160231,1075
160232,1075
160239,1075
160241,1075
160242,1075
160249,1075
160250,1075
160290,1075
160300,1079
160411,1075
160412,1075
160413,1075
160414,1075
160415,1075
160416,1075
160417,1075
160419,1075
160420,1075
160431,1020
160432,1020
160510,1075
160521,1075
160529,1075
160530,1075
160540,1075
160551,1075
160552,1075
160553,1075
160554,1075
160555,1075
160556,1075
160557,1075
160558,0149
160559,1075
160561,1075
160562,1075
160563,1075
160569,1075
170112,1072
170113,1072
170114,1072
170191,1072
170199,1072
170211,1050
170219,1050
170220,1072
170230,1050
170240,1050
170250,1050
170260,1050
170290,1050
170310,1072
170390,1072
170410,1073
170490,1073
180100,0127
180200,n/a
180310,1073
180320,1073
180400,1073
180500,1073
180610,1073
180620,1073
180631,1073
180632,1073
180690,1073
190110,1079
190120,1061
190190,1079
190211,1074
190219,1074
190220,1074
190230,1074
190240,1074
190300,1062
190410,1061
190420,1061
190430,1061
190490,1061
190510,1071
190520,1071
190531,1071
190532,1071
190540,1071
190590,1071
