tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
2005,KLUI,31111,311,31,11,3370,0,385846466,0,0,0,0,113961463,13125996,49823145,3,0,1,,,,0,0,0.1152,0.1291
2005,KLUI,31112,311,31,25,3676,0,466907819,0,0,0,0,304245109,27384211,27234693,2,0,1,,,,0,0,0.09,0.0583
2005,KLUI,31121,311,31,18,5929,0,6976757338,0,0,0,0,5330035078,2665065054,34248453,2,0,2,,,,0,0,0.5,0.0049
2005,KLUI,31122,311,31,4,653,0,39763980,0,0,0,0,13817896,8210437,0,0,0,2,,,,0,0,0.5942,0.0
2005,KLUI,31123,311,31,16,2913,0,243732089,0,0,0,0,92827062,14191797,4503376,1,0,1,,,,0,0,0.1529,0.0185
2005,KLUI,31131,311,31,11,12948,0,1231190640,0,0,0,0,669596478,217052076,1130133691,7,0,2,,,,0,0,0.3242,0.9179
2005,KLUI,31132,311,31,18,1102,0,76809256,0,0,0,0,36974630,159603,3734859,4,0,1,,,,0,0,0.0043,0.0486
2005,KLUI,31133,311,31,11,1763,0,84658320,0,0,0,0,47159599,2447455,68834670,3,0,0,,,,0,0,0.0519,0.8131
2005,KLUI,31134,311,31,31,2144,0,95926872,0,0,0,0,48771515,1714274,4388525,1,0,0,,,,0,0,0.0351,0.0457
2005,KLUI,31135,311,31,1,64,0,10990462,0,0,0,0,5934409,0,0,0,0,0,,,,0,0,0.0,0.0
2005,KLUI,31141,311,31,40,16854,0,2215256431,0,0,0,0,1046572805,158597770,595545378,12,0,7,,,,0,0,0.1515,0.2688
2005,KLUI,31142,311,31,136,8818,0,515871646,0,0,0,0,365881375,3283598,268809256,28,0,2,,,,0,0,0.009,0.5211
2005,KLUI,31143,311,31,7,544,0,55076907,0,0,0,0,35838230,0,35471678,4,0,0,,,,0,0,0.0,0.644
2005,KLUI,31144,311,31,198,53216,0,16307682173,0,0,0,0,12267158414,77471157,9843127911,113,0,24,,,,0,0,0.0063,0.6036
2005,KLUI,31145,311,31,100,5000,0,942444845,0,0,0,0,637931166,226937350,741882075,2,0,2,,,,0,0,0.3557,0.7872
2005,KLUI,31149,311,31,67,7586,0,931956758,0,0,0,0,574135714,7283647,44068698,9,0,5,,,,0,0,0.0127,0.0473
2005,KLUI,31151,311,31,286,83054,0,42883418550,0,0,0,0,31545459352,999362,6502563779,74,0,35,,,,0,0,0.0,0.1516
2005,KLUI,31152,311,31,11,1730,0,420497141,0,0,0,0,245606929,46387104,137130586,6,0,0,,,,0,0,0.1889,0.3261
2005,KLUI,31153,311,31,44,4490,0,1143415099,0,0,0,0,357403258,12476,226964220,5,0,1,,,,0,0,0.0,0.1985
2005,KLUI,31154,311,31,37,11464,0,37857670024,0,0,0,0,27270388584,8121907,4838203744,11,0,7,,,,0,0,0.0003,0.1278
2005,KLUI,31155,311,31,1,35,0,534684,0,0,0,0,192400,0,0,0,0,0,,,,0,0,0.0,0.0
2005,KLUI,31159,311,31,2,1691,0,358431976,0,0,0,0,159044343,1847798,67548385,1,0,1,,,,0,0,0.0116,0.1885
2005,KLUI,31161,311,31,262,8423,0,1308009114,0,0,0,0,1088806587,0,7046543,1,0,0,,,,0,0,0.0,0.0054
2005,KLUI,31162,311,31,12,495,0,130148005,0,0,0,0,117918938,0,0,0,0,0,,,,0,0,0.0,0.0
2005,KLUI,31163,311,31,54,14967,0,1203487875,0,0,0,0,1064593332,62730675,920123035,31,0,5,,,,0,0,0.0589,0.7645
2005,KLUI,31164,311,31,39,13026,0,633278678,0,0,0,0,366931052,1001406,441146790,18,0,3,,,,0,0,0.0027,0.6966
2005,KLUI,31165,311,31,22,698,0,22800539,0,0,0,0,17836532,0,0,0,0,0,,,,0,0,0.0,0.0
2005,KLUI,31166,311,31,1,31,0,696506,0,0,0,0,145942,75061,696506,1,0,0,,,,0,0,0.5143,1.0
2005,KLUI,31167,311,31,15,444,0,5245027,0,0,0,0,578049,0,0,0,0,0,,,,0,0,0.0,0.0
2005,KLUI,31168,311,31,8,4168,0,8109493907,0,0,0,0,6270157253,5906797309,120671449,3,0,0,,,,0,0,0.942,0.0149
2005,KLUI,31169,311,31,36,3363,0,486628925,0,0,0,0,377217729,219932050,126478428,11,0,5,,,,0,0,0.583,0.2599
2005,KLUI,31171,311,31,281,28436,0,3795297337,0,0,0,0,2700295224,59305696,16142737,6,0,3,,,,0,0,0.022,0.0043
2005,KLUI,31179,311,31,513,47694,0,4314761551,0,0,0,0,2437190803,229774596,184455349,8,0,10,,,,0,0,0.0943,0.0427
2005,KLUI,31181,311,31,56,61390,0,8550721168,0,0,0,0,3664302911,37942360,187815745,5,0,1,,,,0,0,0.0104,0.022
2005,KLUI,31182,311,31,19,824,0,9372489,0,0,0,0,5982473,0,0,0,0,0,,,,0,0,0.0,0.0
2005,KLUI,31183,311,31,6,917,0,260773673,0,0,0,0,197373528,8000666,0,0,0,0,,,,0,0,0.0405,0.0
2005,KLUI,31184,311,31,22,1537,0,265538390,0,0,0,0,140846582,12526215,0,0,0,0,,,,0,0,0.0889,0.0
2005,KLUI,31189,311,31,5,136,0,5047980,0,0,0,0,2696059,29713,0,0,0,0,,,,0,0,0.011,0.0
2005,KLUI,31191,311,31,9,2071,0,344129472,0,0,0,0,239222305,564195,3688000,1,0,1,,,,0,0,0.0024,0.0107
2005,KLUI,31192,311,31,83,14196,0,1469554854,0,0,0,0,768247235,130734516,274323233,17,0,11,,,,0,0,0.1702,0.1867
2005,KLUI,31211,312,31,133,10104,0,1125656972,0,0,0,0,758284263,248601,62146077,12,0,1,,,,0,0,0.0003,0.0552
2005,KLUI,31212,312,31,26,1590,0,35737177,0,0,0,0,37357983,32716,12837649,1,0,0,,,,0,0,0.0009,0.3592
2005,KLUI,31219,312,31,9,476,0,32072379,0,0,0,0,17261017,1514142,0,0,0,1,,,,0,0,0.0877,0.0
2005,KLUI,31221,312,31,190,40374,0,3358034906,0,0,0,0,2018516984,27124125,719052160,52,0,8,,,,0,0,0.0134,0.2141
2005,KLUI,31231,312,31,153,5605,0,275621444,0,0,0,0,61539422,65686,0,0,0,2,,,,0,0,0.0011,0.0
2005,KLUI,31241,312,31,79,6854,0,1704658482,0,0,0,0,845054413,112071052,48760912,1,0,1,,,,0,0,0.1326,0.0286
2005,KLUI,31243,312,31,96,3325,0,187645980,0,0,0,0,120032285,24694644,0,0,0,0,,,,0,0,0.2057,0.0
2005,KLUI,31246,312,31,53,10267,0,770819768,0,0,0,0,421919436,64781551,60355823,5,0,0,,,,0,0,0.1535,0.0783
2005,KLUI,31251,312,31,544,21355,0,657312676,0,0,0,0,375439332,243832,60153702,12,0,0,,,,0,0,0.0006,0.0915
2005,KLUI,31261,312,31,42,8117,0,5789454285,0,0,0,0,2220991729,450721873,890627581,11,0,8,,,,0,0,0.2029,0.1538
2005,KLUI,31271,312,31,182,11521,0,557887920,0,0,0,0,315476219,33124682,6419619,2,0,1,,,,0,0,0.105,0.0115
2005,KLUI,31272,312,31,63,4343,0,231792588,0,0,0,0,142745978,263232,12600,1,0,1,,,,0,0,0.0018,0.0001
2005,KLUI,31281,312,31,63,10900,0,14858132288,0,0,0,0,11936262675,4400568345,312715562,8,0,10,,,,0,0,0.3687,0.021
2005,KLUI,31282,312,31,18,1926,0,1849695254,0,0,0,0,1476873435,726594824,14647629,2,0,4,,,,0,0,0.492,0.0079
2005,KLUI,31310,313,31,8,619,0,11805901,0,0,0,0,3213151,0,0,0,0,0,,,,0,0,0.0,0.0
2005,KLUI,31320,313,31,12,913,0,131220388,0,0,0,0,70932316,0,141406,1,0,0,,,,0,0,0.0,0.0011
2005,KLUI,31330,313,31,4,1085,0,229815233,0,0,0,0,147848464,121822839,730493,1,0,2,,,,0,0,0.824,0.0032
2005,KLUI,31340,313,31,247,27856,0,5269976322,0,0,0,0,2216225853,486872577,174125766,8,0,22,,,,0,0,0.2197,0.033
2005,KLUI,31410,314,31,478,30741,0,1765929624,0,0,0,0,1481228964,29189550,91693435,9,0,1,,,,0,0,0.0197,0.0519
2005,KLUI,31420,314,31,266,219827,0,50484784852,0,0,0,0,13883438910,1312957081,1790879337,3,0,2,,,,0,0,0.0946,0.0355
2005,KLUI,31430,314,31,7,2954,0,3014113344,0,0,0,0,1252963192,583336834,896088086,2,0,1,,,,0,0,0.4656,0.2973
2005,KLUI,31440,314,31,26,6083,0,115144366,0,0,0,0,47107093,209197,0,0,0,2,,,,0,0,0.0044,0.0
2005,KLUI,31490,314,31,27,1666,0,162178435,0,0,0,0,121969441,16559115,9131949,1,0,1,,,,0,0,0.1358,0.0563
2005,KLUI,32111,321,32,144,112526,0,34574123994,0,0,0,0,24769809995,14273788813,4959721206,40,0,32,,,,0,0,0.5763,0.1435
2005,KLUI,32112,321,32,17,3902,0,421630599,0,0,0,0,305357891,89119028,50764294,4,0,5,,,,0,0,0.2919,0.1204
2005,KLUI,32113,321,32,33,16464,0,3422413571,0,0,0,0,2173850066,506694440,1624830445,13,0,2,,,,0,0,0.2331,0.4748
2005,KLUI,32114,321,32,486,151364,0,22179882497,0,0,0,0,11875070679,2545265017,4583883700,68,0,21,,,,0,0,0.2143,0.2067
2005,KLUI,32115,321,32,159,46501,0,5893714834,0,0,0,0,3975609358,1085556359,1930106567,21,0,12,,,,0,0,0.2731,0.3275
2005,KLUI,32116,321,32,65,21791,0,2715501721,0,0,0,0,1168749869,218535848,1261840666,7,0,2,,,,0,0,0.187,0.4647
2005,KLUI,32117,321,32,195,7932,0,187821646,0,0,0,0,124162736,6260007,14823204,12,0,0,,,,0,0,0.0504,0.0789
2005,KLUI,32121,321,32,157,23441,0,3870131250,0,0,0,0,2531561018,923119622,461875883,23,0,4,,,,0,0,0.3646,0.1193
2005,KLUI,32122,321,32,31,2942,0,250168573,0,0,0,0,180007729,79717539,34602588,2,0,2,,,,0,0,0.4429,0.1383
2005,KLUI,32123,321,32,3,1037,0,36402555,0,0,0,0,20425693,9925049,7756483,1,0,0,,,,0,0,0.4859,0.2131
2005,KLUI,32129,321,32,2,636,0,2610229,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0.0
2005,KLUI,32130,321,32,249,81211,0,9604491847,0,0,0,0,4962492387,2645555802,1267433600,38,0,13,,,,0,0,0.5331,0.132
2005,KLUI,32140,321,32,27,7893,0,367894437,0,0,0,0,249700768,139812890,194096993,5,0,2,,,,0,0,0.5599,0.5276
2005,KLUI,32151,321,32,9,561,0,41809112,0,0,0,0,28613106,8854952,11531480,1,0,0,,,,0,0,0.3095,0.2758
2005,KLUI,32152,321,32,22,2830,0,199139163,0,0,0,0,139634311,53643861,5082124,2,0,1,,,,0,0,0.3842,0.0255
2005,KLUI,32160,321,32,81,3600,0,81683907,0,0,0,0,62874949,20973,107600,1,0,0,,,,0,0,0.0003,0.0013
2005,KLUI,32190,321,32,185,17588,0,953718368,0,0,0,0,547578570,122880964,149927963,9,0,8,,,,0,0,0.2244,0.1572
2005,KLUI,32210,322,32,1686,394191,0,28082751961,0,0,0,0,18121040406,8200626475,11448270654,212,0,110,,,,0,0,0.4525,0.4077
2005,KLUI,32220,322,32,19,15721,0,524936052,0,0,0,0,225690954,168730824,115140536,5,0,8,,,,0,0,0.7476,0.2193
2005,KLUI,32290,322,32,94,10452,0,482682604,0,0,0,0,321186035,115894453,220525539,20,0,9,,,,0,0,0.3608,0.4569
2005,KLUI,32311,323,32,2,62,0,2670149,0,0,0,0,5346057,355037,2670149,1,0,0,,,,0,0,0.0664,1.0
2005,KLUI,32312,323,32,53,6123,0,3571053831,0,0,0,0,4209752928,2706197294,1355393988,20,0,1,,,,0,0,0.6428,0.3796
2005,KLUI,32331,323,32,83,10576,0,356454458,0,0,0,0,206462635,75363490,149154168,18,0,8,,,,0,0,0.365,0.4184
2005,KLUI,32332,323,32,3,176,0,9793615,0,0,0,0,6556442,3055471,0,0,0,1,,,,0,0,0.466,0.0
2005,KLUI,32339,323,32,14,3196,0,203974843,0,0,0,0,119646722,12950120,48566986,6,0,2,,,,0,0,0.1082,0.2381
2005,KLUI,32411,324,32,202,68278,0,5228877228,0,0,0,0,3057880333,1459712151,1736712099,30,0,16,,,,0,0,0.4774,0.3321
2005,KLUI,32412,324,32,61,93644,0,6856407409,0,0,0,0,3022728035,1780890823,3135294166,17,0,10,,,,0,0,0.5892,0.4573
2005,KLUI,32413,324,32,7,1815,0,189785785,0,0,0,0,82569390,0,0,0,0,0,,,,0,0,0.0,0.0
2005,KLUI,32419,324,32,35,8704,0,474539603,0,0,0,0,90554014,29520954,30720824,5,0,2,,,,0,0,0.326,0.0647
2005,KLUI,33111,331,33,284,33141,0,3868474869,0,0,0,0,2771120601,20099647,927021097,47,0,7,,,,0,0,0.0073,0.2396
2005,KLUI,33112,331,33,337,56910,0,7010639095,0,0,0,0,4808085639,982191363,3876861431,168,0,20,,,,0,0,0.2043,0.553
2005,KLUI,33113,331,33,39,45564,0,8545533761,0,0,0,0,5222507078,77530630,2157691628,12,0,4,,,,0,0,0.0148,0.2525
2005,KLUI,33114,331,33,76,95328,0,14881294745,0,0,0,0,8197892692,531854968,12180202414,60,0,9,,,,0,0,0.0649,0.8185
2005,KLUI,33115,331,33,80,21219,0,2116199838,0,0,0,0,999318002,71022204,1502052047,57,0,6,,,,0,0,0.0711,0.7098
2005,KLUI,33116,331,33,8,668,0,30855543,0,0,0,0,13429967,0,3088770,1,0,1,,,,0,0,0.0,0.1001
2005,KLUI,33120,331,33,40,1255,0,103798937,0,0,0,0,56718763,9420,345903,1,0,0,,,,0,0,0.0002,0.0033
2005,KLUI,33131,331,33,59,5288,0,708858580,0,0,0,0,326181151,125869,90991584,29,0,0,,,,0,0,0.0004,0.1284
2005,KLUI,33132,331,33,27,2039,0,19227077,0,0,0,0,8654727,86380,13341892,14,0,2,,,,0,0,0.01,0.6939
2005,KLUI,33140,331,33,73,9712,0,407447276,0,0,0,0,190607751,33841477,325836462,42,0,3,,,,0,0,0.1775,0.7997
2005,KLUI,33151,331,33,100,6143,0,567852329,0,0,0,0,401364913,120305497,229890161,22,0,2,,,,0,0,0.2997,0.4048
2005,KLUI,33190,331,33,71,7837,0,346339872,0,0,0,0,216217051,1703937,61640963,13,0,2,,,,0,0,0.0079,0.178
2005,KLUI,33211,332,33,989,114362,0,6646840439,0,0,0,0,3876329306,394939631,3910642901,531,0,76,,,,0,0,0.1019,0.5883
2005,KLUI,33212,332,33,180,33838,0,1470709105,0,0,0,0,770710086,24205983,740158062,119,0,6,,,,0,0,0.0314,0.5033
2005,KLUI,33220,332,33,35,3399,0,68782131,0,0,0,0,28218273,6212,28990499,16,0,2,,,,0,0,0.0002,0.4215
2005,KLUI,33230,332,33,28,1639,0,67178332,0,0,0,0,32343124,2630061,0,0,0,1,,,,0,0,0.0813,0.0
2005,KLUI,34111,341,34,9,16466,0,23542759838,0,0,0,0,13235447243,825222530,10001223964,3,0,4,,,,0,0,0.0623,0.4248
2005,KLUI,34112,341,34,61,47992,0,24297332786,0,0,0,0,12209963581,3738596497,4367822037,18,0,5,,,,0,0,0.3062,0.1798
2005,KLUI,34113,341,34,26,11277,0,3796797758,0,0,0,0,1617890062,954214879,804198315,3,0,3,,,,0,0,0.5898,0.2118
2005,KLUI,34114,341,34,26,3378,0,1855253781,0,0,0,0,1080239313,341981605,105231873,3,0,2,,,,0,0,0.3166,0.0567
2005,KLUI,34119,341,34,23,3494,0,1343669756,0,0,0,0,784386198,430666660,309245677,3,0,2,,,,0,0,0.549,0.2302
2005,KLUI,34120,341,34,194,25603,0,5753479373,0,0,0,0,3977674317,262279957,145797607,11,0,17,,,,0,0,0.0659,0.0253
2005,KLUI,34190,341,34,52,7034,0,1326086992,0,0,0,0,1001379437,186149314,133223245,4,0,2,,,,0,0,0.1859,0.1005
2005,KLUI,34200,342,34,499,44332,0,9523557047,0,0,0,0,5845770462,580517311,504567973,12,0,6,,,,0,0,0.0993,0.053
