cmdCode,primaryValue,netWgt,qty,qtyUnitAbbr
060314,228800.0,8000.0,8000.0,
060319,3939.0,604.0,604.0,
060390,91742.0,7254.0,7254.0,
060420,276544.0,92035.0,92035.0,
060490,58529.0,16245.0,16245.0,
070110,2152145.0,1862450.0,1862450.0,
070190,28667627.0,46587879.0,46587879.0,
070200,196041.0,110503.0,110503.0,
070310,67232449.0,155361490.0,155361490.0,
070320,242342239.0,414957761.0,414957761.0,
070390,441330.0,446705.0,446705.0,
070410,1207659.0,945321.0,945321.0,
070420,468.0,147.0,147.0,
070490,1852583.0,2195869.0,2195869.0,
070511,173931.0,117535.0,117535.0,
070519,64321.0,44867.0,44867.0,
070610,30707766.0,55483969.0,55483969.0,
070690,5377.0,3310.0,3310.0,
070700,11803.0,3063.0,3063.0,
070810,3332163.0,6540147.0,6540147.0,
070820,195244.0,196590.0,196590.0,
070890,732517.0,658380.0,658380.0,
070920,1963.0,1443.0,1443.0,
070930,74.0,22.0,22.0,
070940,203090.0,137758.0,137758.0,
070951,308913.0,179126.0,179126.0,
070959,1786132.0,1152456.0,1152456.0,
070960,2589497.0,2821787.0,2821787.0,
070970,44712.0,36263.0,36263.0,
070991,49.0,28.0,28.0,
070993,3677.0,1262.0,1262.0,
070999,422786.0,372064.0,372064.0,
071010,5529430.0,5639826.0,5639826.0,
071021,843288.0,680038.0,680038.0,
071022,13662.0,4449.0,4449.0,
071029,1703022.0,1352884.0,1352884.0,
071030,122029.0,41935.0,41935.0,
071040,1673689.0,1083586.0,1083586.0,
071080,526489.0,389387.0,389387.0,
071090,1056344.0,968222.0,968222.0,
071120,48828.0,13814.0,13814.0,
071140,17623.0,10487.0,10487.0,
071190,3193075.0,3170074.0,3170074.0,
071220,11658527.0,4425577.0,4425577.0,
071231,100319.0,17427.0,17427.0,
071232,560783.0,410064.0,410064.0,
071233,97221.0,88010.0,88010.0,
071239,887523.0,398093.0,398093.0,
071290,11556436.0,7141814.0,7141814.0,
071310,4606515.0,10746127.0,10746127.0,
071320,379255.0,430925.0,430925.0,
071331,49130185.0,63069562.0,63069562.0,
071332,81109.0,126728.0,126728.0,
071333,903021.0,1779745.0,1779745.0,
071335,967788.0,1800137.0,1800137.0,
071339,1572527.0,2384716.0,2384716.0,
071340,11878.0,2871.0,2871.0,
071350,9238930.0,12378240.0,12378240.0,
071390,8577689.0,9343442.0,9343442.0,
071410,3419138.0,13291339.0,13291339.0,
071420,33607.0,20838.0,20838.0,
071440,3658.0,2783.0,2783.0,
071490,400077.0,309448.0,309448.0,
080111,883067.0,503032.0,503032.0,
080112,160.0,113.0,113.0,
080119,1043279.0,1132155.0,1132155.0,
080122,11842.0,2045.0,2045.0,
080131,29583.0,31810.0,31810.0,
080132,4357044.0,775677.0,775677.0,
080211,404398.0,82397.0,82397.0,
080212,4530938.0,818971.0,818971.0,
080222,212397.0,27023.0,27023.0,
080232,414340.0,38348.0,38348.0,
080241,172831.0,136086.0,136086.0,
080242,1035.0,948.0,948.0,
080251,95205.0,138008.0,138008.0,
080262,174617.0,27253.0,27253.0,
080280,25500.0,29008.0,29008.0,
080290,300989.0,272626.0,272626.0,
080310,297689.0,681256.0,681256.0,
080390,845005.0,1240869.0,1240869.0,
080410,26320276.0,22557895.0,22557895.0,
080420,8080.0,2626.0,2626.0,
080430,15172.0,9756.0,9756.0,
080440,46891.0,52284.0,52284.0,
080450,993646.0,1092819.0,1092819.0,
080510,26068993.0,32491997.0,32491997.0,
080520,176568227.0,179394411.0,179394411.0,
080540,247942.0,292525.0,292525.0,
080550,3534691.0,3412646.0,3412646.0,
080590,138063.0,123019.0,123019.0,
080610,122686092.0,59448541.0,59448541.0,
080620,4179900.0,1942632.0,1942632.0,
080711,230249.0,348658.0,348658.0,
080719,612013.0,696456.0,696456.0,
080720,58681.0,82946.0,82946.0,
080810,170515810.0,183859437.0,183859437.0,
080830,104793022.0,131134409.0,131134409.0,
080840,170.0,48.0,48.0,
080910,7777.0,3532.0,3532.0,
080921,172.0,112.0,112.0,
080929,104.0,31.0,31.0,
080930,64346.0,58059.0,58059.0,
080940,236215.0,151920.0,151920.0,
081010,304802.0,120032.0,120032.0,
081030,111723.0,28318.0,28318.0,
081040,296975.0,56529.0,56529.0,
081050,7664580.0,3475621.0,3475621.0,
081060,28817122.0,19766545.0,19766545.0,
081070,64051.0,52033.0,52033.0,
081090,152746472.0,136043378.0,136043378.0,
081110,985281.0,422110.0,422110.0,
081120,290113.0,59424.0,59424.0,
081190,1614288.0,370912.0,370912.0,
081210,152553.0,41937.0,41937.0,
081290,300850.0,73577.0,73577.0,
081310,2109.0,902.0,902.0,
081320,53327.0,23514.0,23514.0,
081330,3048.0,603.0,603.0,
081340,3735145.0,5803885.0,5803885.0,
081350,358205.0,122372.0,122372.0,
081400,72808.0,15041.0,15041.0,
090111,112973204.0,52176760.0,52176760.0,
090112,36006.0,3571.0,3571.0,
090121,3570861.0,519165.0,519165.0,
090122,606010.0,44026.0,44026.0,
090190,9533.0,3705.0,3705.0,
090210,107623.0,46820.0,46820.0,
090220,9306388.0,7326793.0,7326793.0,
090230,2719682.0,214965.0,214965.0,
090240,21115989.0,16808279.0,16808279.0,
090300,8849.0,585.0,585.0,
090411,10067871.0,4173204.0,4173204.0,
090412,345101.0,81083.0,81083.0,
090421,15258456.0,15918373.0,15918373.0,
090422,3769080.0,2870243.0,2870243.0,
090510,338703.0,12140.0,12140.0,
090520,69461.0,39615.0,39615.0,
090611,63210.0,29000.0,29000.0,
090619,692043.0,67358.0,67358.0,
090620,1089517.0,341330.0,341330.0,
090710,110776020.0,7129161.0,7129161.0,
090720,16845.0,34920.0,34920.0,
090811,573922.0,44663.0,44663.0,
090812,240924.0,14065.0,14065.0,
090831,7120.0,6712.0,6712.0,
090832,10014.0,22643.0,22643.0,
090921,6524840.0,16721319.0,16721319.0,
090922,67694.0,39172.0,39172.0,
090931,3147137.0,2630254.0,2630254.0,
090932,70688.0,32386.0,32386.0,
090961,3985726.0,3579944.0,3579944.0,
090962,85231.0,128470.0,128470.0,
091011,16567492.0,22834798.0,22834798.0,
091012,136429.0,50594.0,50594.0,
091020,9084.0,3256.0,3256.0,
091030,390248.0,119373.0,119373.0,
091091,255124.0,60718.0,60718.0,
091099,1106910.0,1259751.0,1259751.0,
100111,430483.0,1480790.0,1480790.0,
100119,69275504.0,210180367.0,210180367.0,
100199,2184144193.0,6038828532.0,6038828532.0,
100290,10600.0,10000.0,10000.0,
100310,20793.0,14794.0,14794.0,
100390,24856.0,52585.0,52585.0,
100490,318425.0,419914.0,419914.0,
100510,5287431.0,1651812.0,1651812.0,
100590,496610819.0,1691342685.0,1691342685.0,
100610,29140271.0,23764153.0,23764153.0,
100620,55000.0,50000.0,50000.0,
100630,819602728.0,1542409250.0,1542409250.0,
100640,96825183.0,244148900.0,244148900.0,
100710,416902.0,1563935.0,1563935.0,
100790,1808126.0,6629630.0,6629630.0,
100810,853976.0,1900547.0,1900547.0,
100829,6936557.0,16400804.0,16400804.0,
100830,2372431.0,3316530.0,3316530.0,
100890,219189.0,260343.0,260343.0,
110100,188833237.0,479682152.0,479682152.0,
110220,86382.0,156875.0,156875.0,
110290,887158.0,2008426.0,2008426.0,
110311,3943910.0,7713862.0,7713862.0,
110313,31419.0,13490.0,13490.0,
110319,20070.0,100060.0,100060.0,
110320,42851.0,35467.0,35467.0,
110412,3942723.0,4750582.0,4750582.0,
110419,15759.0,26743.0,26743.0,
110422,35248.0,14354.0,14354.0,
110423,231110.0,251730.0,251730.0,
110429,298781.0,277288.0,277288.0,
110430,2801.0,869.0,869.0,
110510,443710.0,234659.0,234659.0,
110520,8532509.0,5706287.0,5706287.0,
110610,433.0,601.0,601.0,
110620,388091.0,66303.0,66303.0,
110630,1265728.0,239362.0,239362.0,
110710,19661022.0,33801768.0,33801768.0,
110720,164734.0,165198.0,165198.0,
110811,2594937.0,5843067.0,5843067.0,
110812,38504536.0,77631904.0,77631904.0,
110813,14891879.0,27231199.0,27231199.0,
110814,342844016.0,757926062.0,757926062.0,
110819,121564.0,41093.0,41093.0,
110820,14143850.0,4761095.0,4761095.0,
110900,3758343.0,4907166.0,4907166.0,
120110,381983.0,716215.0,716215.0,
120190,1210847983.0,1920490314.0,1920490314.0,
120230,2584680.0,1960964.0,1960964.0,
120241,74790940.0,62501825.0,62501825.0,
120242,140910001.0,121365317.0,121365317.0,
120300,9475.0,65576.0,65576.0,
120400,69485.0,70106.0,70106.0,
120510,95745.0,119881.0,119881.0,
120590,270981.0,817893.0,817893.0,
120600,6618856.0,13513258.0,13513258.0,
120710,2000144.0,1268478.0,1268478.0,
120721,102235.0,3482.0,3482.0,
120729,48345.0,29300.0,29300.0,
120730,4000.0,1000.0,1000.0,
120740,8701119.0,12676554.0,12676554.0,
120750,16964.0,5745.0,5745.0,
120770,9475.0,8034.0,8034.0,
120791,420.0,29.0,29.0,
120799,1493786.0,236963.0,236963.0,
120810,4427072.0,2078911.0,2078911.0,
120890,39816.0,17836.0,17836.0,
120921,1212.0,215.0,215.0,
120925,1062.0,57.0,57.0,
120929,1970190.0,216014.0,216014.0,
120930,7305.0,649.0,649.0,
120991,5570094.0,214197.0,214197.0,
120999,5321312.0,942839.0,942839.0,
121010,29559.0,7499.0,7499.0,
121020,179038.0,34479.0,34479.0,
121120,322255.0,14654.0,14654.0,
121190,10834829.0,4773464.0,4773464.0,
121221,1301486.0,129926.0,129926.0,
121229,276106.0,81023.0,81023.0,
121292,494069.0,615000.0,615000.0,
121299,31455.0,50961.0,50961.0,
121300,27712.0,23803.0,23803.0,
