cmdCode,primaryValue,netWgt,qty,qtyUnitAbbr
261800,1132730.0,9571671.0,9571671.0,
261900,26652839.0,327475666.0,327475666.0,
262011,135799.0,199701.0,199701.0,
262019,23622.0,146469.0,146469.0,
262021,5.0,5.0,5.0,
262030,745985.0,902575.0,902575.0,
262040,1253962.0,15068993.0,15068993.0,
262060,1623.0,293458.0,293458.0,
262099,28153.0,240000.0,240000.0,
262110,236.0,95.0,95.0,
262190,192024.0,834115.0,834115.0,
270111,29054859.0,406133579.0,406133579.0,
270112,13245403332.0,161976188025.0,161976188025.0,
270119,11013720165.0,185122175129.0,185122175129.0,
270120,5002082.0,71255097.0,71255097.0,
270210,1878098860.0,36802743789.0,36802743789.0,
270400,4190974.0,56636541.0,56636541.0,
270500,7109.0,5241.0,5241.0,
270600,470545.0,784500.0,784500.0,
270740,825.0,288.0,288.0,
270799,218197203.0,223855650.0,223855650.0,
270900,12293410847.0,14973143267.0,14973143267.0,
271012,428424708.0,631685868.0,631685868.0,
271019,1272717716.0,1403221648.0,1403221648.0,
271020,67923173.0,70931487.0,70931487.0,
271099,5706714.0,29711918.0,29711918.0,
271111,15040518755.0,20599444431.0,20599444431.0,
271112,7121089.0,6220541.0,6220541.0,
271113,2010857.0,1991145.0,1991145.0,
271121,5470815981.0,7235682148.0,7235682148.0,
271129,15628.0,970.0,970.0,
271210,105932.0,57540.0,57540.0,
271220,2105.0,700.0,700.0,
271290,8457125.0,7644950.0,7644950.0,
271311,67381247.0,318657386.0,318657386.0,
271312,6679727.0,13326522.0,13326522.0,
271320,632766.0,771900.0,771900.0,
271390,2304534356.0,3152859460.0,3152859460.0,
271410,2900.0,6360.0,6360.0,
271490,13700313.0,459893403.0,459893403.0,
271500,802652.0,673951.0,673951.0,
280110,158675.0,581650.0,581650.0,
280120,3022080.0,43711.0,43711.0,
280200,10107.0,116.0,116.0,
280300,4586299.0,2922922.0,2922922.0,
280421,13132.0,11788.0,,
280429,334239.0,130753.0,,
280430,231649.0,1852054.0,,
280440,114049.0,47788.0,,
280461,5940.0,2000.0,2000.0,
280469,8498.0,8291.0,8291.0,
280470,94128.0,648.0,648.0,
280512,2071.0,14641.0,14641.0,
280519,173296.0,60021.0,60021.0,
280540,8530.0,16250.0,16250.0,
280700,18996.0,61420.0,61420.0,
280920,122080.0,35091.0,35091.0,
281000,5800.0,2775.0,2775.0,
281111,4651.0,991.0,991.0,
281119,7868351.0,13996481.0,13996481.0,
281121,1232.0,101.0,101.0,
281122,13181570.0,18953623.0,18953623.0,
281129,20825.0,9355.0,9355.0,
281210,5170331.0,7502398.0,7502398.0,
281310,921616.0,1404230.0,1404230.0,
281410,476600115.0,959888640.0,959888640.0,
281420,1.0,2.0,2.0,
281511,2828343.0,5066283.0,5066283.0,
281512,13150498.0,49003290.0,49003290.0,
281520,18910.0,35225.0,35225.0,
281530,50.0,393.0,393.0,
281700,14212407.0,14668663.0,14668663.0,
281820,416.0,2.0,2.0,
281830,116080.0,323180.0,323180.0,
281910,10393.0,4150.0,4150.0,
282010,41261.0,12224.0,12224.0,
282090,3833532.0,232186.0,232186.0,
282110,200479.0,328049.0,328049.0,
282300,142286.0,52732.0,52732.0,
282410,1986579.0,860000.0,860000.0,
282540,571972.0,397586.0,397586.0,
282550,484634.0,494970.0,494970.0,
282560,10552.0,200.0,200.0,
282570,156212.0,55910.0,55910.0,
282590,1014827.0,2832556.0,2832556.0,
282612,2599570.0,2641000.0,2641000.0,
282619,860.0,208.0,208.0,
282710,202.0,100.0,100.0,
282720,545907.0,1134559.0,1134559.0,
282731,4.0,3.0,3.0,
282732,1488802.0,2133562.0,2133562.0,
282739,1323281.0,264003.0,264003.0,
282749,1716.0,298.0,298.0,
282760,28474.0,482.0,482.0,
282810,17595.0,12600.0,12600.0,
282890,3163.0,2075.0,2075.0,
283090,111461.0,90478.0,90478.0,
283110,52.0,10.0,10.0,
283210,76770.0,232650.0,232650.0,
283220,16811.0,16640.0,16640.0,
283230,4881.0,7970.0,7970.0,
283311,6896155.0,53988425.0,53988425.0,
283319,830677.0,10046017.0,10046017.0,
283322,6684177.0,39156000.0,39156000.0,
283327,561.0,800.0,800.0,
283329,23123.0,7092.0,7092.0,
283340,69523.0,17000.0,17000.0,
283510,1110633.0,2868116.0,2868116.0,
283522,162.0,1.0,1.0,
283524,124091.0,59325.0,59325.0,
283525,18781.0,88100.0,88100.0,
283526,9906.0,52000.0,52000.0,
283529,600.0,300.0,300.0,
283531,723134.0,911094.0,911094.0,
283539,17200.0,10000.0,10000.0,
283620,2040967.0,6039510.0,6039510.0,
283630,17000.0,40000.0,40000.0,
283640,181056.0,329362.0,329362.0,
283650,9367852.0,45063418.0,45063418.0,
283660,8800.0,8800.0,8800.0,
283691,17501.0,2807.0,2807.0,
283692,1890.0,3000.0,3000.0,
283699,301353.0,134474.0,134474.0,
283720,855.0,225.0,225.0,
283911,750.0,200.0,200.0,
283919,4241821.0,15818906.0,15818906.0,
283990,89150.0,590133.0,590133.0,
284130,17503.0,3150.0,3150.0,
284169,100.0,230.0,230.0,
284170,15864.0,40.0,40.0,
284190,21280.0,4320.0,4320.0,
284210,1142582.0,9048120.0,9048120.0,
284290,2.0,100.0,100.0,
284310,3871.0,1382.0,1382.0,
284410,372.0,1219.0,1219.0,
284430,25549.0,1244.0,1244.0,
284440,364466.0,5609.0,5609.0,
284510,24.0,49.0,49.0,
284590,5.0,7.0,7.0,
284700,7009439.0,17713314.0,17713314.0,
284800,14024.0,28620.0,28620.0,
284910,388545.0,482520.0,482520.0,
284920,178.0,411.0,411.0,
284990,2018.0,1001.0,1001.0,
285210,4443.0,22006.0,22006.0,
285290,56421.0,49002.0,49002.0,
285300,2664.0,3328.0,3328.0,
290110,12951.0,1930.0,1930.0,
290121,16201301.0,13407240.0,13407240.0,
290122,40889922.0,35415296.0,35415296.0,
290124,244326300.0,176119248.0,176119248.0,
290129,246720.0,109731.0,109731.0,
290219,21499537.0,12326379.0,12326379.0,
290220,4132800.0,4191341.0,4191341.0,
290243,43064150.0,27585991.0,27585991.0,
290244,1601.0,1047.0,1047.0,
290250,174680986.0,123274834.0,123274834.0,
290290,15529.0,2158.0,2158.0,
290311,60259.0,17160.0,17160.0,
290312,750.0,200.0,200.0,
290315,75771097.0,324260338.0,324260338.0,
290321,28776946.0,36048709.0,36048709.0,
290322,4301.0,6960.0,6960.0,
290323,35.0,8.0,8.0,
290379,76584.0,31530.0,31530.0,
290399,86.0,10.0,10.0,
290410,71248.0,26898.0,26898.0,
290490,247687.0,116802.0,116802.0,
290511,124496929.0,438741664.0,438741664.0,
290512,1337.0,515.0,515.0,
290513,1331822.0,950100.0,950100.0,
290514,17657427.0,14758388.0,14758388.0,
290516,199588902.0,121200617.0,121200617.0,
290517,34954328.0,19262708.0,19262708.0,
290519,7802961.0,4874705.0,4874705.0,
290522,97614.0,9480.0,9480.0,
290529,58516.0,1832.0,1832.0,
290531,26374300.0,26106778.0,26106778.0,
290532,76490.0,234685.0,234685.0,
290539,2417346.0,191484.0,191484.0,
290543,26000.0,10000.0,10000.0,
290544,57444613.0,82899200.0,82899200.0,
290545,163178802.0,245098775.0,245098775.0,
290549,785.0,300.0,300.0,
290611,279954.0,17916.0,17916.0,
290612,128.0,10.0,10.0,
290619,143076.0,4894.0,4894.0,
290629,79368.0,5903.0,5903.0,
290711,48936490.0,2216110.0,2216110.0,
290712,509.0,12.0,12.0,
290713,5712872.0,3017948.0,3017948.0,
290715,93.0,1.0,1.0,
290719,12014.0,762.0,762.0,
290722,7875.0,700.0,700.0,
290723,222313.0,65795.0,65795.0,
290729,854.0,60.0,60.0,
290899,497305.0,287400.0,287400.0,
290920,7392.0,125.0,125.0,
290930,3050778.0,495384.0,495384.0,
290941,3187605.0,3100300.0,3100300.0,
290943,23874.0,19820.0,19820.0,
290949,150167.0,30396.0,30396.0,
290950,17147765.0,1139615.0,1139615.0,
290960,6448114.0,2049889.0,2049889.0,
291030,419.0,6.0,6.0,
291090,2033.0,141.0,141.0,
291100,3920.0,475.0,475.0,
291211,5260.0,17600.0,17600.0,
291219,242413.0,85473.0,85473.0,
291221,1082.0,56.0,56.0,
291229,172692.0,25559.0,25559.0,
291241,2850.0,150.0,150.0,
291242,3960.0,200.0,200.0,
291249,53840.0,2067.0,2067.0,
291250,147.0,2.0,2.0,
291260,129500.0,37000.0,37000.0,
291419,10769.0,525.0,525.0,
291422,1746.0,150.0,150.0,
291423,1256.0,27.0,27.0,
291429,801949.0,167314.0,167314.0,
291439,132330.0,1632.0,1632.0,
291440,10337.0,185.0,185.0,
291450,19811.0,255.0,255.0,
291469,1648.0,251.0,251.0,
291470,52248.0,6200.0,6200.0,
291511,2204327.0,2496201.0,2496201.0,
291513,12775.0,605.0,605.0,
291521,6976.0,1169.0,1169.0,
291529,5821.0,2260.0,2260.0,
