tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
1991,KLUI,31111,311,31,6,502,0,7909511,0,0,0,47029,4870800,0,0,0,0,0,,,,0,93683,0.0,0.0
1991,KLUI,31112,311,31,23,2115,0,50324104,0,0,0,539222,38604399,378904,0,0,0,0,,,,0,254951,0.0098,0.0
1991,KLUI,31121,311,31,24,4348,0,861764045,0,0,0,6647824,485164172,166584078,0,0,0,4,,,,0,1528938,0.3434,0.0
1991,KLUI,31122,311,31,1,220,0,8678519,0,0,0,10568,3993338,3078075,0,0,0,0,,,,0,48036,0.7708,0.0
1991,KLUI,31123,311,31,5,635,0,8771130,0,0,0,76065,1992005,438429,0,0,0,0,,,,0,119787,0.2201,0.0
1991,KLUI,31131,311,31,11,9745,0,143942844,0,0,0,3288802,34489133,0,0,0,0,1,,,,0,337486,0.0,0.0
1991,KLUI,31133,311,31,10,355,0,1861323,0,0,0,9881,1072420,0,0,0,0,0,,,,0,27834,0.0,0.0
1991,KLUI,31134,311,31,4,141,0,763756,0,0,0,50273,413693,0,0,0,0,0,,,,0,356546,0.0,0.0
1991,KLUI,31139,311,31,3,179,0,6089569,0,0,0,48424,1839289,1024628,0,0,0,0,,,,0,270525,0.5571,0.0
1991,KLUI,31141,311,31,16,9146,0,192013240,0,0,0,3227170,124506775,25267066,0,0,0,1,,,,0,352850,0.2029,0.0
1991,KLUI,31142,311,31,100,3158,0,25504211,0,0,0,827704,16166746,0,0,0,0,0,,,,0,262098,0.0,0.0
1991,KLUI,31143,311,31,1,36,0,375295,0,0,0,10703,185591,5071,0,0,0,0,,,,0,297306,0.0273,0.0
1991,KLUI,31144,311,31,108,25960,0,1118034917,0,0,0,8863888,875752947,3568085,0,0,0,7,,,,0,341444,0.0041,0.0
1991,KLUI,31145,311,31,10,433,0,3924516,0,0,0,50453,2980138,0,0,0,0,0,,,,0,116520,0.0,0.0
1991,KLUI,31149,311,31,18,1280,0,26598164,0,0,0,1904048,15747514,3192,0,0,0,0,,,,0,1487538,0.0002,0.0
