tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
2010,Rev3,15111,151,15,19,1036,15631260,1093727912,892010115,201717797,14500617,30025072,802015856,0,0,0,3,0,0.0775,15088089,194708298,13996735,28981730,0.0,0.0
2010,Rev3,15112,151,15,46,5790,86592971,1293154953,821504743,471650210,54520362,24090180,709704933,103348251,0,0,14,2,0.1836,14955608,81459449,9416297,4160653,0.1456,0.0
2010,Rev3,15121,151,15,47,23339,221991987,5131168641,3659807407,1471361234,115860327,182090723,3181630566,333519042,1387786150,25,22,8,0.1509,9511632,63043028,4964237,7801993,0.1048,0.2705
2010,Rev3,15122,151,15,105,4954,30691115,710669886,547540306,163129580,2747883,28662484,459076148,52703,299812039,24,16,2,0.1881,6195219,32928862,554680,5785725,0.0001,0.4219
2010,Rev3,15123,151,15,28,1618,15965750,349673922,302208750,47465172,9091884,3129398,293270286,0,301196395,4,5,1,0.3364,9867583,29335706,5619211,1934115,0.0,0.8614
2010,Rev3,15124,151,15,269,50018,550777870,9551892947,5536616769,4015276178,285177173,201701706,5027749387,34282398,5104164063,113,91,32,0.1372,11011593,80276624,5701491,4032582,0.0068,0.5344
2010,Rev3,15125,151,15,98,2975,12093168,281497292,243333485,38163807,1412005,5615517,229636064,23816502,0,0,12,0,0.3169,4064930,12828170,474624,1887569,0.1037,0.0
2010,Rev3,15129,151,15,102,5424,63066896,944849900,618355834,326494066,10641365,36499023,543876634,3394391,372790390,29,24,1,0.1932,11627378,60194334,1961904,6729171,0.0062,0.3945
2010,Rev3,15131,151,15,6,1375,64793630,155534794,91643015,63891779,2928479,5901274,71066861,0,56936839,3,1,1,1.0141,47122640,46466748,2129803,4291836,0.0,0.3661
2010,Rev3,15132,151,15,7,224,2041341,9415483,4959304,4456179,63075,155944,3511612,0,3091707,2,3,0,0.4581,9113129,19893656,281585,696179,0.0,0.3284
2010,Rev3,15133,151,15,53,5158,56867326,569148861,270526182,298622679,30214352,14590211,214695192,3332129,10019748,2,19,0,0.1904,11025073,57895052,5857765,2828657,0.0155,0.0176
2010,Rev3,15134,151,15,9,1082,22504377,623233626,554480740,68752886,10766850,3307388,540633106,0,5045515,1,2,0,0.3273,20798870,63542409,9950878,3056736,0.0,0.0081
2010,Rev3,15139,151,15,17,2696,22322175,140484213,32470143,108014070,12266796,1209426,28293747,574444,24298911,5,2,1,0.2067,8279739,40064566,4549999,448600,0.0203,0.173
2010,Rev3,15141,151,15,444,115269,3523971995,167551422060,107545878104,60005543956,4429742242,1768898451,103138443130,652531165,18488087380,70,119,82,0.0587,30571723,520569658,38429606,15345830,0.0063,0.1103
