kbli4,sektor,tk,upah_per_pekerja,ULC,energi_per_pekerja,nilai_output,X_kg,X_usd,Px,Pm
1061,Resource Intensive,70091.0,19188425.746529512,0.22070840109642567,19034759.25582457,46413525768.0,97069448.0,103883273.0,1.0701953615724693,0.4981532533530407
1062,Resource Intensive,14777.0,17424440.3464844,0.1242177910770234,21470454.084049538,6208882343.0,64966769.0,32857055.0,0.5057517174665097,0.5211488093424734
1071,Resource Intensive,83405.0,20345000.719381332,0.24914717866149896,5565989.20928002,13418845507.0,94507989.0,258693543.0,2.737266401891167,2.6069187460541285
1072,Resource Intensive,71666.0,32344907.90612006,0.11318644319857242,15617411.059637764,34548599612.0,388903886.0,46238149.0,0.11889351241915849,0.5766454762185795
1073,Resource Intensive,19771.0,23064614.83991705,0.10497740086810693,45405109.3015022,8845378530.0,264102683.0,797696477.0,3.0204027764458568,4.116097737275321
1074,Resource Intensive,35944.0,16797036.47340307,0.20339295307213728,10252310.427331405,8344456813.0,123003732.0,193606711.0,1.5739905436365134,1.5690454083075296
1075,Resource Intensive,10236.0,15368754.005470887,0.35113385365897426,27718811.25439625,2916110509.0,146122417.0,839293872.0,5.743772168783658,2.47951997390363
1079,Resource Intensive,78573.0,16306775.559034273,0.43826968436806674,4362160.653150573,7307921053.0,286578460.0,899946193.0,3.140313452029856,3.8037868672741126
1080,Resource Intensive,23890.0,44022865.80159062,0.06480654843115757,155538778.65215573,65931426659.0,24948924.0,21052336.0,0.8438173926859531,0.8348697981254773
1101,Resource Intensive,1089.0,96537060.60606061,0.08627692601146505,34500334.25160698,1945182710.0,134285.0,365761.0,2.723766615779871,13.032482714022782
1102,Resource Intensive,442.0,24302140.27149321,0.16029322454342518,6446488.687782805,104164367.0,1131246.0,19797657.0,17.50075315183435,5.408051722283637
1104,Resource Intensive,19953.0,21412735.428256404,0.07825787052110382,16281308.424798276,9795570399.0,89691954.0,53061159.0,0.5915932994391002,0.7295067614686883
1311,Labor Intensive,104625.0,21078614.260454003,0.16152961543790975,43884283.001194745,50478721219.0,562252753.0,1773700288.0,3.1546315754544647,3.499593599229979
1312,Labor Intensive,153527.0,15599252.398600897,0.260792850872879,12527816.77489953,21873736944.0,232433160.0,1573830560.0,6.771110283919902,8.69230543781095
1391,Labor Intensive,23017.0,20080450.493113786,0.275404829283764,38922503.80153799,5613141374.0,18015770.0,108702106.0,6.03371968003588,8.226207462250501
1392,Labor Intensive,65437.0,24519844.95010468,0.3618661965039316,9010344.529853141,11094748267.0,65819534.0,263123601.0,3.9976521407763235,2.685236658069455
1393,Labor Intensive,3377.0,25245550.784720168,0.6779931344847135,18263680.781758957,902399941.0,21961442.0,72877349.0,3.3184227611283448,2.161724576630573
1394,Labor Intensive,9732.0,23654071.619399916,0.4292991087013096,8237080.353473078,1249625409.0,4979254.0,27648456.0,5.552730589763045,2.318435498375404
1399,Labor Intensive,17441.0,39058299.98279915,0.8505550417078189,15852353.19075741,3592286428.0,46603599.0,279310923.0,5.993333755189164,5.37697617405076
1430,Labor Intensive,63121.0,20586877.520951822,0.3556618838852695,5149252.166473915,7926694905.0,68631575.0,962291222.0,14.021115237410768,16.244946747787314
1511,Labor Intensive,12044.0,27234540.269013617,0.3285039058270865,10262649.368980406,4223839671.0,8100472.0,134991704.0,16.664671391988023,10.761898222330903
1512,Labor Intensive,20016.0,20185242.40607514,0.21194315788328452,3624279.6262989608,3348823004.0,16086887.0,211534278.0,13.14948491899023,4.48812413304467
1520,Labor Intensive,224440.0,26756131.21101408,0.2612448258206391,14819571.453395117,60890592419.0,198893895.0,3520102645.0,17.698394639010917,6.394885375036947
1610,Labor Intensive,26931.0,18145346.99788348,0.337805251487122,12771262.262819799,4664257387.0,1827184127.0,689053674.0,0.37711233576187914,0.6530250413294334
1621,Labor Intensive,129848.0,26134322.30762122,0.24121012308692547,13935099.978436325,38509279861.0,2123788316.0,2101781811.0,0.9896380892416586,0.4520510200909859
1622,Labor Intensive,34061.0,19840938.169754263,0.2789150205940537,5121247.320982942,4851109523.0,149948651.0,339874450.0,2.266605586201639,2.246412161307143
1623,Labor Intensive,7579.0,13619165.325240796,0.6817724081250476,1546885.868848133,396507497.0,7365404.0,13239081.0,1.7974684077071672,0.9831006752709822
1629,Labor Intensive,27037.0,21611826.460036248,0.41984780755533624,2846342.1237563337,2457803049.0,95101090.0,298798661.0,3.141905744718594,1.9873484101057461
1701,Resource Intensive,65126.0,33330571.492184382,0.05379214954826068,107930746.73709425,98113793283.0,7098861567.0,4984757906.0,0.7021911695210833,0.96623684961505
1702,Resource Intensive,47055.0,27835800.97757943,0.11182394216466272,29485554.43629795,25381888197.0,85795529.0,121668321.0,1.4181195968848213,2.7057878992695885
1709,Resource Intensive,13152.0,38364073.44890511,0.2622228022113657,57596062.27189781,11045254033.0,239953010.0,433992334.0,1.8086555113436584,4.40387785203704
1811,Labor Intensive,45367.0,28439519.937399432,0.20350062492835047,27195380.739303898,16569047710.0,1013700.0,3808818.0,3.7573424089967444,9.858569101380617
