tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
2009,Rev3,15318,153,15,68,2167,7913827,108720523,93176009,15544514,4043254,716010,89972269,0,0,0,4,1,0.5091,3651974,7173287,1865830,330415,0.0,0.0
2009,Rev3,15321,153,15,8,3924,296195214,14867163108,12978280210,1888882898,560400414,62854286,10999322738,10995352607,6397713153,2,3,2,0.1568,75482980,481366692,142813561,16017912,0.9996,0.4303
2009,Rev3,15322,153,15,37,3647,35733980,618419545,412320957,206098588,23588970,13631690,329104433,22301467,206596692,11,12,1,0.1734,9798185,56511815,6468048,3737782,0.0678,0.3341
2009,Rev3,15323,153,15,142,12407,132059929,4695744443,3512009410,1183735033,12930654,388375584,2857447831,2179975,322827018,8,25,5,0.1116,10643986,95408643,1042206,31302941,0.0008,0.0687
2009,Rev3,15324,153,15,33,737,3617262,59349698,30101679,29248019,1270726,1503041,27943344,0,1371984,1,24,0,0.1237,4908090,39685236,1724187,2039404,0.0,0.0231
2009,Rev3,15329,153,15,2,171,1005093,16993722,12959892,4033830,0,5902987,5343903,0,0,0,0,1,0.2492,5877737,23589649,0,34520392,0.0,0.0
2009,Rev3,15331,153,15,65,11825,269956875,28637152621,22312949536,6324203085,3138352372,352284639,21114172585,9460671754,102693423,5,27,16,0.0427,22829334,534816329,265399778,29791513,0.4481,0.0036
2009,Rev3,15332,153,15,25,2812,63142300,5240927258,4038231937,1202695321,14237054,38551698,3793383412,1473297454,398244154,2,7,3,0.0525,22454587,427701039,5062964,13709708,0.3884,0.076
2009,Rev3,15410,154,15,616,52321,753592851,6591770585,3140527052,3451243533,167935431,156422255,2516663154,279013658,122350262,15,138,11,0.2184,14403258,65962874,3209714,2989665,0.1109,0.0186
2009,Rev3,15421,154,15,60,64387,1109954474,28337761641,10813089858,17524671783,12027016433,472443589,10121929231,505381195,0,0,24,2,0.0633,17238798,272177175,186792620,7337562,0.0499,0.0
2009,Rev3,15422,154,15,62,1748,4304751,33703907,21655268,12048639,309885,1625141,18924569,0,1747990,2,16,0,0.3573,2462672,6892814,177280,929715,0.0,0.0519
2009,Rev3,15423,154,15,9,2113,46536635,5088860277,3347776434,1741083843,42717681,31931006,3205465895,2766053314,58339450,2,5,4,0.0267,22023964,823986674,20216602,15111692,0.8629,0.0115
2009,Rev3,15424,154,15,10,687,9198531,81863635,52885894,28977741,500000,4754930,44873034,6821874,0,0,2,1,0.3174,13389419,42180118,727802,6921295,0.152,0.0
2009,Rev3,15429,154,15,6,151,1116925,15994535,11521789,4472746,146428,1000812,10363257,30300,0,0,1,0,0.2497,7396854,29620834,969722,6627894,0.0029,0.0
2009,Rev3,15431,154,15,7,1684,37005359,1227133372,1122045117,105088255,3540119927,7912031,1009417668,12275733,932999923,3,4,2,0.3521,21974679,62403952,2102208983,4698356,0.0122,0.7603
2009,Rev3,15432,154,15,78,16073,368614622,4985659064,3369136008,1616523056,149700783,64705378,2868651600,238998633,1323277974,17,19,11,0.228,22933779,100573823,9313805,4025719,0.0833,0.2654
2009,Rev3,15440,154,15,286,27682,352448545,7193017716,5321914428,1871103288,55053811,227331414,4671448833,30403094,10314076,8,52,1,0.1884,12732048,67592778,1988795,8212247,0.0065,0.0014
2009,Rev3,15491,154,15,199,46611,571980488,6846180781,4798913515,2047267266,15216403584,248903447,4196938331,80867313,1393481361,63,60,6,0.2794,12271363,43922406,326455206,5340015,0.0193,0.2035
2009,Rev3,15492,154,15,130,6134,63721514,339099399,188905485,150193914,485340267,41320612,19715181,93875,68795,1,32,3,0.4243,10388248,24485477,79122965,6736324,0.0048,0.0002
