tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
2010,Rev3,15131,151,15,6,1375,64793630,155534794,91643015,63891779,2928479,5901274,71066861,0,56936839,3,1,1,1.0141,47122640,46466748,2129803,4291836,0.0,0.3661
2006,Rev3,15132,151,15,10,0,0,25752591,19344469,6408122,0,0,0,0,8218691,3,0,0,,,,,,,0.3191
2007,Rev3,15132,151,15,9,392,2929109,12897863,8323224,4574639,163595,551180,5145626,5435,6120132,3,4,0,0.6403,7472217,11669997,417334,1406071,0.0011,0.4745
2009,Rev3,15132,151,15,4,188,602993,5174201,3539774,1634427,293520,60405,3352565,0,2488543,1,2,0,0.3689,3207410,8693761,1561277,321303,0.0,0.481
2010,Rev3,15132,151,15,7,224,2041341,9415483,4959304,4456179,63075,155944,3511612,0,3091707,2,3,0,0.4581,9113129,19893656,281585,696179,0.0,0.3284
2006,Rev3,15133,151,15,40,0,0,188005494,117887119,70118375,0,0,0,0,19499241,2,0,0,,,,,,,0.1037
2007,Rev3,15133,151,15,29,2813,28687559,188011042,99781451,88229591,11277713,19683708,61242178,1587599,7087000,1,8,0,0.3251,10198208,31364945,4009141,6997408,0.0259,0.0377
2009,Rev3,15133,151,15,44,3090,38213735,312720210,202485638,110234572,6188082,14057548,164488726,4747889,5623972,2,14,1,0.3467,12366905,35674619,2002616,4549368,0.0289,0.018
2010,Rev3,15133,151,15,53,5158,56867326,569148861,270526182,298622679,30214352,14590211,214695192,3332129,10019748,2,19,0,0.1904,11025073,57895052,5857765,2828657,0.0155,0.0176
2006,Rev3,15134,151,15,5,0,0,405167333,177550056,227617277,0,0,0,0,0,0,0,0,,,,,,,0.0
2007,Rev3,15134,151,15,6,362,4259484,224596780,180028071,44568709,41487365,9812078,163906237,0,100500,1,2,0,0.0956,11766530,123117981,114605981,27105188,0.0,0.0004
2009,Rev3,15134,151,15,5,144,1487719,94943111,88461264,6481847,10626850,735342,87109608,0,2959999,1,1,0,0.2295,10331382,45012826,73797569,5106542,0.0,0.0312
2010,Rev3,15134,151,15,9,1082,22504377,623233626,554480740,68752886,10766850,3307388,540633106,0,5045515,1,2,0,0.3273,20798870,63542409,9950878,3056736,0.0,0.0081
