hs6,cif_usd,kg,Pm_usd_per_kg,Pm_rp_per_kg,isic3,isic4,bec1,intermediate
030624,3335033.0,147015.0,22.684985,212935.56,0500,,1,0
030629,247311.0,36093.0,6.852049,64317.65,0500,,1,0
030710,246006.0,62625.0,3.92824,36872.93,0500,,1,0
030729,2603436.0,987224.0,2.637128,24753.74,1512,1020|1075,1,0
030739,43334.0,8856.0,4.89318,45930.47,1512,1020|1075,1,0
030749,2662196.0,2045045.0,1.301779,12219.31,1512,1020|1075,1,0
030759,1706439.0,793711.0,2.14995,20180.79,1512,1020|1075,1,0
030760,46768.0,48880.0,0.956792,8981.05,0122,0143|0145|0146|0149|0321|0322,1,0
030799,314644.0,149635.0,2.102743,19737.67,1512,1020|1075,1,0
040110,497996.0,221211.0,2.251226,21131.43,1520,1050,1,0
040120,345184.0,222044.0,1.554575,14592.22,1520,1050,1,0
040130,9635793.0,3691733.0,2.6101,24500.04,1520,1050,1,0
040210,428976695.0,136232734.0,3.148852,29557.11,1520,1050,1,0
040221,178547866.0,48366940.0,3.691527,34651.0,1520,1050,1,0
040229,91443607.0,12760802.0,7.165976,67264.37,1520,1050,1,0
040291,315072.0,102245.0,3.081539,28925.27,1520,1050,1,0
040299,10825089.0,8396126.0,1.289296,12102.14,1520,1050,1,0
040310,776780.0,265621.0,2.924392,27450.19,1520,1050,1,0
040390,18330154.0,6204217.0,2.954467,27732.49,1520,1050,1,0
040410,199310243.0,96538672.0,2.064564,19379.3,1520,1050,1,0
040490,9943239.0,3321166.0,2.9939,28102.63,1520,1050,1,0
040510,31439134.0,7358230.0,4.272649,40105.78,1520,1050,1,0
040520,8950.0,3657.0,2.447361,22972.47,1520,1050,1,0
040590,29109057.0,6819265.0,4.26865,40068.24,1520,1050,1,0
040610,38503558.0,9709645.0,3.965496,37222.64,1520,1050,1,0
040620,4122278.0,585496.0,7.04066,66088.07,1520,1050,1,0
040630,25182513.0,5032435.0,5.004041,46971.08,1520,1050,1,0
040690,27503922.0,6707284.0,4.100605,38490.86,1520,1050,1,0
040811,2404150.0,467980.0,5.137292,48221.86,1549,1030|1071|1075|1079,1,0
040819,151085.0,52090.0,2.900461,27225.55,1549,1030|1071|1075|1079,1,0
040891,4441419.0,800125.0,5.550906,52104.3,1549,1030|1071|1075|1079,1,0
040899,1358.0,458.0,2.965066,27831.97,1549,1030|1071|1075|1079,1,0
040900,8984544.0,2353221.0,3.817977,35837.94,0122,0143|0145|0146|0149|0321|0322,1,0
041000,631750.0,9289.0,68.01055,638389.87,0122,0143|0145|0146|0149|0321|0322,1,0
050100,11734562.0,88571.0,132.487631,1243612.38,9302,9602,2,1
050210,64400.0,8000.0,8.05,75562.37,9999,,2,1
050290,8022031.0,1283669.0,6.249299,58659.85,9999,,2,1
050510,22152153.0,626580.0,35.35407,331855.57,9999,,2,1
050590,10613078.0,4654257.0,2.280295,21404.28,9999,,2,1
050710,636.0,97.0,6.556701,61545.33,9999,,2,1
050790,2650.0,405.0,6.54321,61418.69,9999,,2,1
050800,666927.0,357316.0,1.866491,17520.06,0500,,2,1
051110,136426.0,169.0,807.254438,7577398.72,0121,0141|0142|0144,2,1
051191,3214435.0,432639.0,7.429832,69741.08,1512,1020|1075,2,1
051199,5859652.0,6131775.0,0.955621,8970.06,9999,,2,1
060110,393484.0,560720.0,0.701748,6587.05,0112,0113|0119|0125|0128|0129|0130|0230,2,1
060120,277468.0,176125.0,1.575404,14787.73,0112,0113|0119|0125|0128|0129|0130|0230,2,1
060210,32597.0,74432.0,0.437943,4110.81,0112,0113|0119|0125|0128|0129|0130|0230,2,1
060230,13885.0,300.0,46.283333,434444.53,0112,0113|0119|0125|0128|0129|0130|0230,2,1
060240,9328.0,290.0,32.165517,301925.81,0112,0113|0119|0125|0128|0129|0130|0230,2,1
