tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
1998,KLUI,27201,272,27,38,6366,13057768,3093012840,2160547817,932465023,31953168,13827465,1602738368,1231541241,111665406,1,21,15,0.014,2051173,146475813,5019348,2172081,0.7684,0.0361
2000,KLUI,27201,272,27,31,3482,6031514,1914763815,1129613056,785150759,4352531,25081530,884879597,579606426,169386806,6,10,10,0.0077,1732198,225488443,1250009,7203196,0.655,0.0885
1998,KLUI,27202,272,27,30,6457,9330379,1836062092,1316525398,519536694,409965314,43480325,1064782470,657229697,50503879,2,12,8,0.018,1445002,80461003,63491608,6733828,0.6172,0.0275
2000,KLUI,27202,272,27,31,8281,26118885,4884941489,3335377295,1549564194,5328550,78911383,1880300812,1357380781,1642521425,5,8,5,0.0169,3154074,187122835,643467,9529209,0.7219,0.3362
2000,KLUI,27203,272,27,4,919,529012,133548473,82446250,51102223,8305190,1066486,75162114,19925515,5900000,1,1,0,0.0104,575639,55606336,9037203,1160485,0.2651,0.0442
1998,KLUI,27204,272,27,20,6565,7911970,1184969363,527037453,657931910,72726526,16590797,453308541,155374448,74564828,3,12,3,0.012,1205174,100218113,11077917,2527159,0.3428,0.0629
2000,KLUI,27204,272,27,18,6460,10118684,1412633162,686089434,726543728,34141188,20482804,561135172,191011215,690363991,10,7,6,0.0139,1566360,112468069,5285014,3170713,0.3404,0.4887
1998,KLUI,27310,273,27,15,2304,50525167,406774233,276681106,130093127,62583480,4865763,224827000,11708670,0,0,5,2,0.3884,21929326,56464031,27162969,2111876,0.0521,0.0
2000,KLUI,27310,273,27,26,7380,28030984,3065410175,2285839551,779570624,106300204,81748437,1909436542,1325931444,1256641724,5,6,6,0.036,3798236,105632876,14403822,11077024,0.6944,0.4099
1998,KLUI,27320,273,27,12,1776,5536204,213377991,77582604,135795387,36794083,4930035,46521631,16052109,64326281,1,3,3,0.0408,3117232,76461367,20717389,2775921,0.345,0.3015
2000,KLUI,27320,273,27,8,2185,8870449,349294903,183468434,165826469,6400957,7593145,131631907,85692950,72897270,3,2,3,0.0535,4059702,75893121,2929500,3475124,0.651,0.2087
1998,KLUI,28111,281,28,63,4744,2593087,476468383,376327819,100140564,21898247,2950716,325110688,165676334,0,0,15,6,0.0259,546603,21108888,4615988,621989,0.5096,0.0
2000,KLUI,28111,281,28,66,5129,9461976,679115370,401999538,277115832,22492029,7649464,311426619,92948428,234720143,5,11,9,0.0341,1844799,54029213,4385266,1491414,0.2985,0.3456
1998,KLUI,28112,281,28,23,1734,1431449,229997559,166179404,63818155,2527512,1524277,156218380,22073165,43148188,2,7,3,0.0224,825518,36804011,1457619,879052,0.1413,0.1876
2000,KLUI,28112,281,28,26,1875,3885637,268924942,216388675,52536267,2184092,1923453,204497489,27367205,20910725,1,4,3,0.074,2072340,28019342,1164849,1025842,0.1338,0.0778
1998,KLUI,28113,281,28,42,4951,5113501,699418026,413525356,285892670,18893350,12416595,330356414,53514525,0,0,12,2,0.0179,1032822,57744429,3816067,2507896,0.162,0.0
2000,KLUI,28113,281,28,47,4212,9036084,720603455,379864040,340739415,3946623,6447039,328384226,29424902,20341273,2,3,1,0.0265,2145319,80897297,936995,1530636,0.0896,0.0282
1998,KLUI,28119,281,28,24,4090,2682142,564696976,381535192,183161784,6333383,9448282,316516657,35245698,5974217,2,7,3,0.0146,655780,44782832,1548504,2310093,0.1114,0.0106
2000,KLUI,28119,281,28,18,3787,10367939,4235690326,2652936221,1582754105,706000,53352134,2243671558,664865380,23378421,1,1,2,0.0066,2737771,417944047,186427,14088232,0.2963,0.0055
1998,KLUI,28120,281,28,41,4779,19354924,511997759,224949686,287048073,23839585,3086687,177148086,34006755,224519,1,10,7,0.0674,4049995,60064464,4988404,645886,0.192,0.0004
2000,KLUI,28120,281,28,40,4149,13648160,467683262,210219631,257463631,4183940,3457616,156618577,60220807,149458691,5,7,6,0.053,3289506,62054382,1008421,833361,0.3845,0.3196
1998,KLUI,28910,289,28,15,1976,5925769,572799330,411260155,161539175,13878028,3776447,317035476,136585847,41752192,1,6,6,0.0367,2998871,81750595,7023294,1911157,0.4308,0.0729
2000,KLUI,28910,289,28,13,2132,8690785,539726795,345918336,193808459,1744837,4656176,307534022,179271457,77952554,3,2,4,0.0448,4076353,90904530,818404,2183947,0.5829,0.1444
1998,KLUI,28920,289,28,41,2963,2474250,330279614,175469735,154809879,7754956,2610435,156850801,29689360,0,0,8,5,0.016,835049,52247681,2617265,881011,0.1893,0.0
2000,KLUI,28920,289,28,58,4471,10816329,253396289,152031901,101364388,9317280,4259406,115979963,60375185,81336447,5,18,7,0.1067,2419219,22671525,2083936,952674,0.5206,0.321
1998,KLUI,28931,289,28,21,1217,359402,30678616,20212433,10466183,2710192,631174,17862514,5806291,0,0,4,1,0.0343,295318,8599986,2226945,518631,0.3251,0.0
2000,KLUI,28931,289,28,13,924,475837,34556087,17059144,17496943,3970,621231,15147717,6877572,0,0,1,0,0.0272,514975,18936085,4297,672328,0.454,0.0
1998,KLUI,28932,289,28,21,1351,868738,41778671,27869202,13909469,824109,848059,21864109,1400810,0,0,4,2,0.0625,643033,10295684,609999,627727,0.0641,0.0
2000,KLUI,28932,289,28,19,2002,1009025,39164095,15717590,23446505,2241431,457314,12047829,7459699,2472502,1,1,1,0.043,504008,11711541,1119596,228429,0.6192,0.0631
1998,KLUI,28933,289,28,49,14070,6079833,913621136,437010749,476610387,65302246,9241682,366659560,321608974,0,0,17,7,0.0128,432113,33874228,4641240,656836,0.8771,0.0
