tahun,klasifikasi,isic5,isic3,isic2,n_perusahaan,tk_total,upah_total,nilai_output,biaya_input,nilai_tambah,modal,energi,bahan_total,bahan_impor,ekspor,n_eksportir,n_lapor_modal,n_asing,ULC,upah_per_pekerja,produktivitas,modal_per_pekerja,energi_per_pekerja,pangsa_impor,intensitas_ekspor
2003,KLUI,31111,311,31,8,1646,25980973,199393729,81343872,118049857,26895003,9125709,54808287,16106786,0,0,4,1,0.2201,15784309,71719233,16339613,5544173,0.2939,0.0
2003,KLUI,31112,311,31,25,6532,80550640,826826608,568800332,258026276,50676479,6184508,482013658,20208616,0,0,8,3,0.3122,12331696,39501879,7758187,946802,0.0419,0.0
2003,KLUI,31121,311,31,19,5417,253605116,6929349210,4449868495,2479480715,258882173,77193877,3303999927,1682441096,39230149,1,11,4,0.1023,46816525,457722118,47790691,14250300,0.5092,0.0057
2003,KLUI,31122,311,31,4,947,28648111,520250974,436064654,84186320,646511,2214326,411161439,396685533,0,0,1,2,0.3403,30251437,88897909,682694,2338253,0.9648,0.0
2003,KLUI,31123,311,31,14,2573,24919922,287396812,149911681,137485131,17357786,3124556,124635468,13656891,3795909,1,5,2,0.1813,9685162,53433786,6746127,1214363,0.1096,0.0132
2003,KLUI,31131,311,31,11,6007,158812305,777660789,561094872,216565917,43758145,72518353,420004968,93628292,335028356,4,4,2,0.7333,26437873,36052259,7284526,12072308,0.2229,0.4308
2003,KLUI,31132,311,31,6,519,5385421,29067434,16868377,12199057,0,1302964,10739678,995581,3911570,1,0,0,0.4415,10376534,23504927,0,2510528,0.0927,0.1346
2003,KLUI,31133,311,31,9,349,1296703,10005475,5445079,4560396,21100,146670,4923746,6843,7033911,3,2,0,0.2843,3715481,13067037,60458,420258,0.0014,0.703
2003,KLUI,31134,311,31,35,2492,13840770,125633457,58717591,66915866,13965834,2896184,44476714,1828696,8176379,2,11,1,0.2068,5554081,26852274,5604267,1162193,0.0411,0.0651
2003,KLUI,31135,311,31,5,335,1742754,23506244,15094848,8411396,14021168,996853,12670044,0,6175128,1,2,0,0.2072,5202251,25108645,41854233,2975681,0.0,0.2627
2003,KLUI,31141,311,31,34,17695,113366699,2060235603,1564083128,496152475,10251153079,63508647,1215450323,284069367,1335037052,17,17,7,0.2285,6406708,28039134,579324842,3589073,0.2337,0.648
2003,KLUI,31142,311,31,130,5778,13954206,298313704,248126970,50186734,5411009,2126598,231711389,0,118681644,26,19,2,0.278,2415058,8685831,936485,368051,0.0,0.3978
2003,KLUI,31143,311,31,7,823,10370181,63128928,47235099,15893829,1882641,1625694,42037051,0,46690075,5,4,0,0.6525,12600463,19312064,2287535,1975327,0.0,0.7396
2003,KLUI,31144,311,31,159,45450,374977709,12986106652,10391817829,2594288823,144915924,465973023,9301383696,33849840,8017750517,98,51,23,0.1445,8250335,57080062,3188469,10252432,0.0036,0.6174
2003,KLUI,31145,311,31,90,2740,6015985,152998534,132028805,20969729,1262850,1733472,122063351,0,0,0,25,0,0.2869,2195615,7653186,460894,632654,0.0,0.0
2003,KLUI,31149,311,31,66,8066,59748560,784817858,610923783,173894075,16393668,17063841,543169773,40303863,486132864,29,11,5,0.3436,7407458,21558898,2032441,2115527,0.0742,0.6194
2003,KLUI,31151,311,31,219,128378,981241202,35467210683,25409079559,10058131124,30545935199,511285352,24157816590,3533186,6351248155,51,98,29,0.0976,7643375,78347779,237937460,3982656,0.0001,0.1791
2003,KLUI,31152,311,31,35,4692,28573558,391907365,281242495,110664870,413408,2889101,265583735,0,5027857,1,4,0,0.2582,6089846,23585863,88109,615750,0.0,0.0128
2003,KLUI,31153,311,31,52,4730,35878365,3031090843,2390942693,640148150,31145346,52243106,2071343421,22983829,40427885,5,12,0,0.056,7585278,135337875,6584640,11045054,0.0111,0.0133
